Category,City,Customer ID,Customer Name,Discount,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit,Quantity,Ship Date,Ship Mode,State,Sub-Category,Sales,Year,Month,Time Delivery,Price per unit
Furniture,Philadelphia,SF-20065,Sandra Flanagan,0.3,2018-07-16,US-2018-156909,19140.0,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",-1.0196,2,2018-07-18,Second Class,Pennsylvania,Chairs,71.37,2018,7,2,50.98
Office Supplies,Philadelphia,TB-21520,Tracy Blumstein,0.7,2016-09-17,US-2016-150630,19140.0,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,-7.0532,2,2016-09-21,Standard Class,Pennsylvania,Binders,9.61,2016,9,4,16.02
Office Supplies,Philadelphia,TB-21520,Tracy Blumstein,0.7,2016-09-17,US-2016-150630,19140.0,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-5.715,6,2016-09-21,Standard Class,Pennsylvania,Binders,6.85,2016,9,4,3.81
Office Supplies,Philadelphia,FH-14365,Fred Hopkins,0.7,2018-07-06,US-2018-124303,19120.0,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",-2.2586,2,2018-07-13,Standard Class,Pennsylvania,Binders,2.94,2018,7,7,4.9
Technology,Medina,VW-21775,Victoria Wilson,0.7,2016-01-02,CA-2016-146262,44256.0,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,-950.4,9,2016-01-09,Standard Class,Ohio,Machines,1188.0,2016,1,7,440.0
Office Supplies,Dublin,JB-15925,Joni Blumstein,0.7,2016-12-24,CA-2016-169397,43017.0,OFF-BI-10002852,Ibico Standard Transparent Covers,-13.8432,4,2016-12-27,First Class,Ohio,Binders,24.0,2016,12,3,20.0
Technology,Dublin,JB-15925,Joni Blumstein,0.7,2016-12-24,CA-2016-169397,43017.0,TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder,-383.9904,4,2016-12-27,First Class,Ohio,Machines,252.0,2016,12,3,210.0
Office Supplies,Philadelphia,PO-18850,Patrick O'Brill,0.7,2017-08-30,US-2017-141544,19143.0,OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,-27.6936,6,2017-09-01,First Class,Pennsylvania,Binders,28.0,2017,8,2,15.56
Office Supplies,Philadelphia,JL-15850,John Lucas,0.7,2017-04-25,US-2017-150147,19134.0,OFF-BI-10001153,Ibico Recycled Grain-Textured Covers,-13.816,2,2017-04-29,Second Class,Pennsylvania,Binders,40.0,2017,4,4,66.67
Office Supplies,Philadelphia,JL-15850,John Lucas,0.7,2017-04-25,US-2017-150147,19134.0,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,-3.4272,3,2017-04-29,Second Class,Pennsylvania,Binders,8.0,2017,4,4,8.89
Office Supplies,Philadelphia,JD-15895,Jonathan Doherty,0.7,2015-04-13,CA-2015-122336,19140.0,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,-407.976,10,2015-04-17,Second Class,Pennsylvania,Binders,288.0,2015,4,4,96.0
Technology,Philadelphia,DK-13225,Dean Katz,0.7,2016-12-03,CA-2016-122756,19140.0,TEC-MA-10001681,Lexmark MarkNet N8150 Wireless Print Server,-337.638,4,2016-12-07,Standard Class,Pennsylvania,Machines,72.0,2016,12,4,60.0
Office Supplies,Philadelphia,AR-10510,Andrew Roberts,0.7,2015-05-23,US-2015-105767,19134.0,OFF-BI-10000848,Angle-D Ring Binders,-2.6256,2,2015-05-27,Standard Class,Pennsylvania,Binders,6.0,2015,5,4,10.0
Office Supplies,Grove City,CK-12595,Clytie Kelty,0.7,2018-11-14,CA-2018-138611,43123.0,OFF-BI-10002949,Prestige Round Ring Binders,-2.7968,2,2018-11-17,Second Class,Ohio,Binders,45.0,2018,11,3,75.0
Office Supplies,Columbus,CR-12730,Craig Reiter,0.7,2017-08-22,CA-2017-137239,43229.0,OFF-BI-10002827,Avery Durable Poly Binders,-2.6544,2,2017-08-28,Standard Class,Ohio,Binders,30.0,2017,8,6,50.0
Office Supplies,Chester,JO-15550,Jesus Ocampo,0.7,2016-05-14,CA-2016-119291,19013.0,OFF-BI-10001575,GBC Linen Binding Covers,-13.6312,2,2016-05-17,First Class,Pennsylvania,Binders,360.0,2016,5,3,600.0
Office Supplies,Chester,JO-15550,Jesus Ocampo,0.7,2016-05-14,CA-2016-119291,19013.0,OFF-BI-10001982,Wilson Jones Custom Binder Spines & Labels,-3.4272,3,2016-05-17,First Class,Pennsylvania,Binders,22.0,2016,5,3,24.44
